chain_id,segment_id,x_cm,y_cm,z_cm
4.000000000000000000e+00,9.000000000000000000e+00,9.936395574592836732e-01,7.513794765960470912e-01,2.759552945727596018e+00
4.000000000000000000e+00,1.000000000000000000e+01,1.098229856748615507e+00,8.957823838148764040e-01,2.850154654769523788e+00
4.000000000000000000e+00,1.100000000000000000e+01,1.132722155297017474e+00,1.078032858785846315e+00,2.924954692962722813e+00
4.000000000000000000e+00,1.200000000000000000e+01,1.187677292169612819e+00,1.234780556565128862e+00,3.036355286193678893e+00
4.000000000000000000e+00,1.300000000000000000e+01,1.279089287822314791e+00,1.380817892699104377e+00,3.137927642204960232e+00
4.000000000000000000e+00,1.400000000000000000e+01,1.422848421323100077e+00,1.488870083050592541e+00,3.225437845583476459e+00
4.000000000000000000e+00,1.500000000000000000e+01,1.506449763030718536e+00,1.647685912784805140e+00,3.313689462512116712e+00
4.000000000000000000e+00,1.600000000000000000e+01,1.625597227913372134e+00,1.792947112536293020e+00,3.382268362027895936e+00
4.000000000000000000e+00,1.700000000000000000e+01,1.779184901792012496e+00,1.914595948988580432e+00,3.422422901277562435e+00
4.000000000000000000e+00,1.800000000000000000e+01,1.929469160367431657e+00,2.027764288220248901e+00,3.490301974783191596e+00
4.000000000000000000e+00,1.900000000000000000e+01,2.063284203303332287e+00,2.176375255127746655e+00,3.487418435485461821e+00
4.000000000000000000e+00,2.000000000000000000e+01,2.211617163117564289e+00,2.294032803838318202e+00,3.422966637495266973e+00
4.000000000000000000e+00,2.100000000000000000e+01,2.370392982602660847e+00,2.349550114614972429e+00,3.314762814314362593e+00
4.000000000000000000e+00,2.200000000000000000e+01,2.544719547285203110e+00,2.440851376475412948e+00,3.279065077289800900e+00
4.000000000000000000e+00,2.300000000000000000e+01,2.703067917707027146e+00,2.563010664922499515e+00,3.277361601180673656e+00
4.000000000000000000e+00,2.400000000000000000e+01,2.841436209239248445e+00,2.678326594120624904e+00,3.190433743898746233e+00
4.000000000000000000e+00,2.500000000000000000e+01,3.023777519354685417e+00,2.719472395728399050e+00,3.119309418696746494e+00
5.000000000000000000e+00,0.000000000000000000e+00,5.894832461949961022e+00,5.868300932977964735e+00,3.280852118564792086e+00
5.000000000000000000e+00,1.000000000000000000e+00,5.884699277673359319e+00,5.681332137535408222e+00,3.210567069605744450e+00
5.000000000000000000e+00,2.000000000000000000e+00,5.876973352478880308e+00,5.530811422700180557e+00,3.079099109686296742e+00
5.000000000000000000e+00,3.000000000000000000e+00,5.903306317339167997e+00,5.363104205466435737e+00,2.973359503817065264e+00
5.000000000000000000e+00,4.000000000000000000e+00,5.962034143291209176e+00,5.180648959232240891e+00,2.916253238131361503e+00
5.000000000000000000e+00,5.000000000000000000e+00,5.975882505656383792e+00,4.981279239482187648e+00,2.908511293505619655e+00
5.000000000000000000e+00,6.000000000000000000e+00,6.000205187581202360e+00,4.790539929499796123e+00,2.963528770469084250e+00
5.000000000000000000e+00,7.000000000000000000e+00,6.052196330447429773e+00,4.622564847096037433e+00,3.058824587559415775e+00
